fips,Agriculture,Mining,Construction,Manufacturing,Retail,Finance,Professional Services,Health Care,Government
40127,0.0,0.0,91.0,213.0,304.0,96.0,127.0,0.0,234.0
40129,8.0,33.0,28.0,0.0,95.0,0.0,10.0,15.0,82.0
40131,194.0,79.0,2067.0,5480.0,2842.0,506.0,67.0,2938.0,2274.0
40133,23.0,280.0,214.0,1007.0,754.0,182.0,128.0,0.0,816.0
40135,213.0,79.0,272.0,365.0,1581.0,238.0,368.0,0.0,363.0
40137,19.0,724.0,696.0,1865.0,1743.0,530.0,541.0,3112.0,428.0
40139,1001.0,98.0,0.0,0.0,1045.0,232.0,191.0,108.0,276.0
40141,0.0,0.0,0.0,0.0,137.0,0.0,17.0,94.0,306.0
40143,565.0,2480.0,20921.0,40518.0,39415.0,14967.0,22045.0,58560.0,9147.0
40145,82.0,17.0,1836.0,1754.0,1684.0,242.0,364.0,1034.0,564.0
40147,57.0,2332.0,837.0,599.0,2444.0,952.0,7.0,2481.0,491.0
40149,62.0,98.0,111.0,96.0,240.0,102.0,37.0,0.0,216.0
40151,49.0,313.0,98.0,126.0,422.0,145.0,46.0,0.0,227.0
40153,148.0,882.0,566.0,380.0,1104.0,286.0,158.0,858.0,245.0
40999,44.0,662.0,1542.0,452.0,1.0,2565.0,4603.0,1422.0,461.0
41000,57082.0,1893.0,122072.0,185942.0,203480.0,54594.0,114543.0,325744.0,90253.0
41001,140.0,0.0,272.0,565.0,846.0,70.0,165.0,56.0,407.0
41003,1164.0,15.0,1324.0,2569.0,3667.0,720.0,2236.0,6867.0,1421.0
41005,4692.0,51.0,14789.0,17656.0,18546.0,5263.0,11747.0,26606.0,6096.0
41007,67.0,0.0,1094.0,1834.0,2980.0,262.0,368.0,2702.0,922.0
41009,342.0,86.0,695.0,1481.0,1595.0,284.0,362.0,1684.0,580.0
41011,728.0,25.0,1127.0,1490.0,2928.0,468.0,479.0,4988.0,1460.0
41013,342.0,16.0,823.0,709.0,646.0,98.0,246.0,778.0,586.0
41015,46.0,0.0,375.0,651.0,986.0,143.0,190.0,864.0,284.0
41017,1314.0,62.0,8293.0,6364.0,11738.0,2094.0,5730.0,16361.0,3412.0
41019,1730.0,158.0,1868.0,4556.0,4750.0,742.0,961.0,7751.0,2054.0
41021,59.0,0.0,148.0,18.0,46.0,0.0,0.0,72.0,143.0
41023,463.0,0.0,121.0,98.0,239.0,49.0,94.0,23.0,213.0
41025,257.0,0.0,6.0,0.0,331.0,34.0,58.0,257.0,460.0
41027,2210.0,0.0,559.0,1737.0,1461.0,128.0,762.0,1844.0,281.0
41029,3908.0,162.0,5723.0,6752.0,13311.0,1744.0,2991.0,19888.0,3532.0
41031,340.0,7.0,162.0,1196.0,662.0,64.0,0.0,931.0,1175.0
41033,869.0,43.0,1201.0,2809.0,4099.0,938.0,679.0,10316.0,1041.0
41035,1152.0,34.0,1347.0,1602.0,3086.0,467.0,816.0,5113.0,1268.0
41037,464.0,0.0,98.0,205.0,237.0,31.0,42.0,120.0,378.0
41039,2595.0,378.0,8019.0,14317.0,19037.0,4458.0,6477.0,30587.0,4147.0
41041,64.0,0.0,849.0,895.0,2716.0,311.0,525.0,2389.0,1306.0
41043,2531.0,10.0,3221.0,8271.0,5339.0,717.0,1182.0,7414.0,2391.0
41045,10.0,0.0,404.0,1088.0,2261.0,167.0,231.0,2245.0,1580.0
41047,10686.0,309.0,13130.0,10096.0,16779.0,3926.0,6344.0,31164.0,21879.0
41049,54.0,0.0,337.0,1577.0,298.0,40.0,0.0,338.0,221.0
41051,2045.0,57.0,26183.0,29405.0,38055.0,14917.0,42204.0,78718.0,16899.0
41053,4.0,0.0,1265.0,1635.0,1808.0,298.0,537.0,4635.0,1435.0
41055,3.0,0.0,77.0,0.0,131.0,0.0,129.0,0.0,80.0
41057,734.0,0.0,438.0,1641.0,1106.0,111.0,147.0,1184.0,611.0
41059,3702.0,22.0,1654.0,2634.0,3378.0,479.0,633.0,4650.0,3086.0
41061,560.0,0.0,722.0,1220.0,1428.0,206.0,329.0,1918.0,563.0
41063,233.0,0.0,193.0,157.0,284.0,48.0,73.0,411.0,223.0
41065,41.0,0.0,494.0,466.0,1580.0,136.0,135.0,2417.0,544.0
41067,2978.0,131.0,19310.0,51958.0,32013.0,9967.0,16769.0,37099.0,7514.0
41069,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,68.0
41071,3791.0,39.0,2197.0,6672.0,3750.0,713.0,1120.0,6868.0,1587.0
41999,1.0,0.0,2245.0,2.0,0.0,3208.0,9129.0,3040.0,411.0
42000,28048.0,20877.0,269486.0,563808.0,589495.0,272186.0,396906.0,1154335.0,237305.0
42001,0.0,0.0,1503.0,6833.0,3559.0,527.0,746.0,4373.0,1481.0
